Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 12:49:04,"3.109215, 101.6115883",189 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 13:04:47,"3.1015783, 101.6126617",172 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 13:08:26,"3.110195, 101.6161233",136 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:31:58,"3.1111052, 101.6122701",70 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 12:33:16,"3.1093383, 101.6114683",186 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 12:35:56,"3.1074533, 101.6073833",116 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 12:36:36,"3.1092867, 101.6053133",182 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 12:37:16,"3.1094633, 101.5998533",40 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 12:37:36,"3.10946, 101.596425",88 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 12:39:46,"3.1015367, 101.5984833",170 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 12:40:41,"3.10252, 101.6004367",25 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 12:40:46,"3.1030933, 101.6003967",51 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 12:41:26,"3.1043541, 101.6003085",85 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 12:43:01,"3.1053983, 101.6055183",199 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 12:44:26,"3.1036467, 101.6069933",65 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 12:44:56,"3.10181, 101.605895",94 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 12:45:41,"3.0987267, 101.6037883",152 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 12:46:36,"3.096985, 101.604995",28 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 12:46:41,"3.096805, 101.6052433",34 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 12:46:56,"3.0961867, 101.60602",32 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 12:47:36,"3.0982417, 101.6071233",83 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 12:48:56,"3.1020633, 101.60851",107 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 12:49:36,"3.1016217, 101.6118767",162 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 12:51:16,"3.103, 101.6164917",177 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 12:52:41,"3.107375, 101.6162283",142 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 12:53:06,"3.1094467, 101.6171333",84 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:31:58,"3.1111052, 101.6122701",70 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 12:33:16,"3.1093383, 101.6114683",197 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 12:49:51,"3.1016433, 101.6131033",124 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 12:53:16,"3.1098833, 101.6165633",194 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:20:07,"3.1110179, 101.6126475",38 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 12:22:17,"3.1082667, 101.6113133",67 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 12:24:17,"3.1015974, 101.6149518",180 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 12:25:17,"3.1014817, 101.61093",175 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 12:55:32,"3.1103267, 101.617745",144 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 12:20:07,"3.1110179, 101.6126475",38 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 12:22:17,"3.1082667, 101.6113133",81 meter,1
3,RUMAH NO. 107 – JLN SS 3/39,"3.1055572225102, 101.611702085264",2019-06-02 12:22:57,"3.1061417, 101.610765",123 meter,2
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 12:24:07,"3.102305, 101.6150283",126 meter,3
