Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-08 00:43:10,"3.0966167, 101.6055067",4 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-08 00:43:25,"3.0961978, 101.6059997",35 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-08 00:44:10,"3.09867, 101.6070867",36 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-08 00:45:25,"3.1023083, 101.608135",157 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-08 00:46:25,"3.10158, 101.612225",123 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-08 00:47:55,"3.102965, 101.6165017",181 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-08 00:49:20,"3.1080283, 101.61629",70 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-08 00:49:40,"3.1095183, 101.617125",79 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-08 00:29:37,"3.1103656, 101.6133705",78 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-08 00:32:15,"3.1081717, 101.61123",68 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-08 00:46:30,"3.1016067, 101.6125033",190 meter,2
